23-11-2017 11:22:9 || O mote coordenador está conectado via serial
23-11-2017 11:23:58 || O mote coordenador está conectado via serial
23-11-2017 11:24:39 || O mote coordenador está conectado via serial
23-11-2017 11:26:2 || O mote coordenador está conectado via serial
23-11-2017 11:26:30 || O mote coordenador está conectado via serial
23-11-2017 11:27:3 || O mote coordenador está conectado via serial
23-11-2017 11:27:34 || O mote coordenador está conectado via serial
23-11-2017 11:31:41 || O mote coordenador não está acessível via serial
23-11-2017 11:31:41 || Verifique se o mote está conectado e/ou se há permissão de acesso
23-11-2017 11:32:13 || O mote coordenador está conectado via serial
23-11-2017 11:32:50 || O mote coordenador está conectado via serial
23-11-2017 11:34:20 || O mote coordenador está conectado via serial
23-11-2017 11:34:53 || O mote coordenador está conectado via serial
23-11-2017 11:35:46 || O mote coordenador está conectado via serial
23-11-2017 11:36:8 || O mote coordenador está conectado via serial
23-11-2017 11:36:15 || O mote coordenador está conectado via serial
23-11-2017 11:41:36 || O mote coordenador está conectado via serial
23-11-2017 11:42:10 || O mote coordenador está conectado via serial
23-11-2017 11:42:21 || O mote coordenador está conectado via serial
23-11-2017 11:42:30 || O mote coordenador está conectado via serial
23-11-2017 11:42:32 || COORDENADOR_OK! 
23-11-2017 11:42:38 || FIM! 
23-11-2017 11:42:52 || O mote coordenador está conectado via serial
23-11-2017 11:45:16 || O mote coordenador está conectado via serial
23-11-2017 11:46:2 || O mote coordenador está conectado via serial
23-11-2017 11:46:12 || O mote coordenador está conectado via serial
23-11-2017 11:46:45 || O mote coordenador está conectado via serial
23-11-2017 11:47:3 || Timeout! 
23-11-2017 11:47:9 || COORDENADOR_OK! 
23-11-2017 11:47:15 || FIM! 
23-11-2017 11:47:19 || COORDENADOR_OK! 
23-11-2017 11:47:25 || FIM! 
23-11-2017 11:47:43 || O mote coordenador está conectado via serial
23-11-2017 11:47:48 || O mote coordenador está conectado via serial
23-11-2017 11:49:12 || O mote coordenador está conectado via serial
23-11-2017 11:51:57 || O mote coordenador está conectado via serial
23-11-2017 11:53:26 || O mote coordenador está conectado via serial
23-11-2017 12:35:35 || O mote coordenador está conectado via serial
23-11-2017 12:36:37 || O mote coordenador está conectado via serial
23-11-2017 12:38:2 || O mote coordenador está conectado via serial
23-11-2017 12:38:14 || O mote coordenador está conectado via serial
23-11-2017 12:39:52 || O mote coordenador está conectado via serial
23-11-2017 12:43:47 || O mote coordenador não está acessível via serial
23-11-2017 12:43:47 || Verifique se o mote está conectado e/ou se há permissão de acesso
23-11-2017 12:43:53 || O mote coordenador está conectado via serial
23-11-2017 12:52:41 || O mote coordenador não está acessível via serial
23-11-2017 12:52:41 || Verifique se o mote está conectado e/ou se há permissão de acesso
23-11-2017 12:52:48 || O mote coordenador está conectado via serial
23-11-2017 12:53:14 || O mote coordenador está conectado via serial
23-11-2017 12:54:57 || O mote coordenador está conectado via serial
23-11-2017 12:55:0 || COORDENADOR_OK! 
23-11-2017 12:55:7 || FIM! 
23-11-2017 12:55:20 || O mote coordenador está conectado via serial
23-11-2017 12:56:15 || O mote coordenador está conectado via serial
